burst,class,3 class,complete,duration,sig_dur,sig_asym,sig_lag,pulse pk flux,sig_pk flux,S(1+2+3),sigS(1+2+3),hr31 (erg),sig hr31 (erg),log10(dur),asymmetry,lag,log10(p256),log10(S),log10(hr31)
BATSE 0108 p01,M,X,C,0.34,0.07,0.179,0.19,0.446,0.116,3.01E-08,6.86E-09,4.583,2.227,-0.468521083,0.9,0.113,-0.936620339,-7.522155524,0.661149857
BATSE 0185 p01,S,S,C,0.09,0.03,0.203,0.047,6.072,1.033,7.97E-08,1.17E-08,9.506,3.28,-1.045757491,1,0.04,0.013899711,-7.098323769,0.97799781
BATSE 0206 p01,T,X,C,0.02,0.12,0.051,0.106,1.673,0.183,1.65E-07,1.71E-08,11.834,2.994,-1.698970004,0.93,-0.007,-0.737204614,-6.781989957,1.073131565
BATSE 0207 p01,S,S,C,0.166,0.07,0.1,0.015,0.313,0.159,9.94E-08,1.28E-08,4.341,1.094,-0.779891912,0.654,0.584,-0.799833508,-7.002482561,0.637589786
BATSE 0218 p01,S,S,C,1.98,0.28,0.046,0.33,0.693,0.117,2.40E-07,2.03E-08,10.247,2.109,0.29666519,0.82,-0.4,-0.932758658,-6.619065537,1.010596736
BATSE 0229 p01,S,S,C,0.83,0.14,0.081,0.185,0.541,0.069,9.25E-08,1.26E-08,8.148,2.495,-0.080921908,0.989,0.217,-1.164014462,-7.033717438,0.91105102
UNTRG 0235 p01,T,X,C,4.38,0.44,0.013,0.302,0.344,0.089,1.23E-07,1.10E-08,0.749,0.229,0.641474111,0.306,0.04,-1.050649981,-6.910448117,-0.125518182
BATSE 0254 p01,S,S,C,0.56,0.12,0,0.167,0.694,0.079,1.75E-07,1.79E-08,13.192,3.293,-0.251811973,0.033,0.005,-1.102504427,-6.756713854,1.120310643
BATSE 0297 p01,S,S,C,0.57,0.13,0,0.078,1.866,0.155,2.74E-07,2.23E-08,19.444,4.559,-0.244125144,0.078,0.024,-0.810868035,-6.562883907,1.288785612
BATSE 0297 p02,S,S,C,0.2,0.07,0.084,0.076,1.869,0.155,9.06E-08,1.24E-08,18.042,7.55,-0.698970004,1,0,-0.810310451,-7.04291974,1.256284678
BATSE 0298 p01,S,S,C,0.245,0.15,0.072,0.015,0.587,0.027,2.34E-07,1.96E-08,13.285,3.167,-0.610833916,1,0.014,-1.565821926,-6.630042393,1.123361559
BATSE 0298 p02,S,S,C,0.109,0.41,0.017,0,17.83,0.362,5.36E-05,3.28E-07,106.243,3.558,-0.962573502,1,0,-0.441597302,-4.270592203,2.026300325
BATSE 0432 p01,S,S,C,0.06,0.03,0.1,0.005,14.778,1.651,3.13E-07,1.76E-08,0.431,0.068,-1.22184875,0.261,-0.017,0.217817106,-6.504039605,-0.36552273
BATSE 0444 p01,S,S,C,0.33,0.1,0,0.003,16.196,0.398,1.36E-06,4.63E-08,4.922,0.36,-0.48148606,0.036,-0.003,-0.399909862,-5.866461092,0.692141609
BATSE 0474 p01,S,S,C,0.27,0.08,0,0.02,5.933,0.274,7.48E-07,3.72E-08,19.385,2.708,-0.568636236,0.038,0,-0.561499561,-6.126388803,1.287465805
BATSE 0480 p01,S,S,C,0.047,0.03,0.1,0,62.373,5.314,3.74E-06,8.43E-08,7.931,0.344,-1.327902142,0.613,0.002,0.725460543,-5.427012292,0.89932795
BATSE 0486 p01,S,S,C,0.65,0.17,0,0.145,1.049,0.141,1.36E-07,1.43E-08,9.778,3.005,-0.187086643,0.154,0.042,-0.849393369,-6.866141875,0.990250033
BATSE 0512 p01,S,X,C,0.102,0.04,0.1,0.167,7.153,0.984,5.82E-07,3.35E-08,124.769,44.827,-0.991399828,1,0.08,-0.006784438,-6.235077015,2.096106694
BATSE 0547 p01,S,S,C,0.57,0.13,0,0.12,2.696,0.217,2.53E-07,2.12E-08,13.206,2.805,-0.244125144,0.02,-0.1,-0.663106171,-6.597566654,1.120771293
BATSE 0551 p01,S,S,C,0.37,0.1,0,0.035,3.649,0.217,5.30E-07,3.06E-08,11.975,1.706,-0.431798276,0.04,-0.009,-0.663648115,-6.275970027,1.078275522
BATSE 0555 p01,M,I,C,0.405,0.1,0,0.189,1.415,0.182,1.17E-07,1.45E-08,16.296,5.493,-0.392544977,0.042,0.045,-0.740150496,-6.93330145,1.212081016
BATSE 0568 p01,S,S,C,0.215,0.07,0.001,0.083,1.658,0.217,1.46E-07,1.61E-08,12.222,3.326,-0.66756154,0.089,-0.018,-0.664498814,-6.835944708,1.087142279
BATSE 0575 p01,S,S,C,0.122,0.05,0.101,0.023,11.478,1.06,1.91E-07,1.86E-08,41.905,16.591,-0.913640169,1,0,0.025430022,-6.72010502,1.622265845
BATSE 0575 p02,S,S,C,0.401,0.1,0.038,0.107,2.922,0.291,1.40E-07,1.58E-08,15.132,4.556,-0.396855627,0.737,-0.004,-0.53643838,-6.852632892,1.179896333
BATSE 0603 p01,S,S,?,0.194,0.06,0.011,0.026,3.713,0.258,2.76E-07,2.16E-08,10.525,2.066,-0.71219827,0.484,0.014,-0.58773305,-6.559878397,1.022222105
BATSE 0603 p02,S,S,?,0.447,0.11,0.043,0.092,0.536,0.046,8.18E-08,1.10E-08,3.201,0.912,-0.349692477,0.495,0.069,-1.340970631,-7.087459117,0.505285674
BATSE 0603 p03,S,S,?,0.694,0.1,0.1,0.049,1.386,0.103,2.08E-07,1.83E-08,5.885,1.141,-0.15864053,1,0.038,-0.987257201,-6.68172792,0.769746467
BATSE 0666 p01,T,X,?,1.94,0.21,0.1,0.126,1,0.111,1.61E-07,1.53E-08,3.056,0.624,0.28780173,1,0.12,-0.955528081,-6.793443956,0.48515335
BATSE 0666 p02,T,X,?,0.88,0.18,0.026,0.097,1.443,0.152,2.21E-07,1.93E-08,9.259,1.934,-0.055517328,0.624,0.003,-0.817833089,-6.655018586,0.966564084
BATSE 0677 p01,S,S,C,0.043,0.03,0.1,0.02,12.734,1.08,5.60E-07,3.28E-08,94.926,30.656,-1.366531544,0.686,-0.025,0.033538512,-6.251579378,1.977385181
BATSE 0729 p01,S,X,C,0.287,0.07,0.061,0.171,0.637,0.16,6.43E-08,1.08E-08,12.731,5.172,-0.542118103,0.785,0.036,-0.796081869,-7.191924132,1.104862518
BATSE 0734 p01,S,S,C,1.14,0.2,0.007,0.206,0.796,0.129,1.55E-07,1.66E-08,12.901,3.488,0.056904851,0.256,0.084,-0.890380792,-6.811071516,1.110623375
BATSE 0788 p01,S,S,C,0.282,0.07,0.1,0.062,2.535,0.279,1.57E-07,1.71E-08,13.509,3.536,-0.549750892,1,0,-0.553898788,-6.805485658,1.130623202
BATSE 0799 p01,S,S,C,0.143,0.28,0.101,0.019,2.432,0.304,9.45E-07,3.00E-08,22.815,7.832,-0.844663963,1,0,-0.517564166,-6.024430342,1.358220473
BATSE 0809 p01,S,S,C,0.06,0.02,0.1,0.004,44.554,2.697,1.62E-07,1.23E-08,0.387,0.093,-1.22184875,0.415,-0.012,0.430889212,-6.790216985,-0.412289035
BATSE 0809 p02,S,S,C,0.67,0.1,0.113,0.129,1.091,0.089,7.31E-08,1.12E-08,5.885,1.804,-0.173925197,0.476,0.145,-1.049032239,-7.136142038,0.769746467
BATSE 0809 p03,S,S,C,0.07,0.03,0.1,0.031,32.019,1.946,2.42E-07,1.70E-08,7.537,2.092,-1.15490196,0.246,0.01,0.289179039,-6.615825861,0.877198515
BATSE 0830 p01,S,S,C,0.219,0.07,0.045,0.041,2.293,0.165,2.34E-07,2.04E-08,14.015,3.184,-0.659555885,0.664,-0.001,-0.783548743,-6.631155493,1.146593102
BATSE 0834 p01,S,X,?,2.36,0.31,0.133,1.1,0.245,0.081,6.63E-08,1.00E-08,3.225,0.99,0.372912003,0.923,0.18,-1.090730399,-7.178486472,0.508529719
BATSE 0856 p01,S,I,C,0.214,0.07,0.1,0.086,0.767,0.143,3.97E-08,7.91E-09,4.889,2.093,-0.669586227,0.648,-0.038,-0.846061593,-7.400881435,0.689220037
BATSE 0105 p01,L,I,I,6.28,0.54,0.018,0.036,2.539,0.126,1.69E-06,4.90E-08,2.893,0.183,0.797959644,0.771,-0.028,-0.900668639,-5.773400095,0.461348434
BATSE 0105 p02,L,I,I,4.35,0.45,0.015,0.025,3.902,0.17,1.89E-06,5.16E-08,3.016,0.185,0.638489257,0.967,0.166,-0.770509318,-5.723078868,0.479431337
BATSE 0105 p03,L,I,I,1.62,0.28,0,0.01,7.453,0.278,1.69E-06,4.92E-08,2.967,0.188,0.209515015,0.032,-0.036,-0.555946602,-5.771856392,0.472317546
BATSE 0111 p01,L,X,C,118.32,3.4,0.013,1.138,0.346,0.081,3.95E-06,7.05E-08,1.709,0.073,2.073058161,0.945,5.49,-1.093687157,-5.402963335,0.232742063
BATSE 0130 p01,L,L,I,59.57,2.47,0.003,0.717,0.7,0.069,5.58E-06,9.08E-08,3.568,0.126,1.7750276,0.217,0.82,-1.164136416,-5.253287977,0.552424846
BATSE 0130 p02,L,L,I,3.6,0.43,0.001,0.28,0.482,0.053,2.98E-07,2.29E-08,11.579,2.184,0.556302501,0.086,0.18,-1.274092585,-6.526367073,1.063671054
BATSE 0130 p03,L,L,I,5.33,0.53,0.052,0.171,0.757,0.072,5.92E-07,3.14E-08,6.222,0.705,0.726727209,0.813,0.27,-1.140376745,-6.227604939,0.793930007
BATSE 0130 p04,L,L,I,7.85,0.66,0.017,0.069,1.776,0.139,2.06E-06,5.91E-08,8.363,0.551,0.894869657,0.531,-0.18,-0.858515207,-5.685290307,0.922362097
BATSE 0130 p05,L,L,I,0.63,0.14,0.002,0.119,1.105,0.095,9.46E-08,1.24E-08,5.556,1.559,-0.200659451,0.117,0.01,-1.020245548,-7.024108864,0.744762237
BATSE 0130 p06,L,L,I,3.89,0.44,0.016,0.069,1.643,0.13,9.40E-07,3.94E-08,6.337,0.577,0.589949601,0.652,0.07,-0.885938871,-6.02668738,0.801883707
BATSE 0130 p07,L,L,I,2.27,0.33,0.076,0.193,0.567,0.059,1.61E-07,1.50E-08,2.202,0.432,0.356025857,0.746,0.24,-1.227183295,-6.792634963,0.342817315
BATSE 0130 p08,L,L,I,4.7,0.43,0.067,0.264,0.437,0.05,2.15E-07,1.81E-08,3.46,0.598,0.672097858,0.969,0.12,-1.301497726,-6.668370282,0.539076099
BATSE 0130 p09,L,L,I,2.97,0.33,0.081,0.419,0.409,0.048,1.29E-07,1.37E-08,4.979,1.292,0.472756449,0.755,0.19,-1.320184386,-6.890084137,0.697142126
BATSE 0130 p10,L,L,I,5.58,0.53,0.039,0.145,0.741,0.071,4.63E-07,2.54E-08,2.708,0.332,0.746634199,0.979,0.01,-1.147010526,-6.33460665,0.43264866
BATSE 0130 p11,L,L,I,56.29,2.21,0.013,0.606,1.085,0.094,6.97E-06,1.00E-07,2.946,0.091,1.750431249,0.871,4.09,-1.026294339,-5.156954189,0.469232743
BATSE 0130 p12,L,L,I,4.79,0.5,0.084,0.348,0.494,0.054,3.75E-07,2.53E-08,10.949,1.851,0.680335513,0.94,0.01,-1.266987779,-6.425852936,1.039374456
BATSE 0130 p13,L,L,I,1.47,0.25,0.001,0.183,0.862,0.079,1.94E-07,1.78E-08,7.217,1.526,0.167317335,0.098,0.06,-1.099912386,-6.711527199,0.858356705
BATSE 0130 p14,L,L,I,1.31,0.22,0.075,0.195,0.797,0.075,1.44E-07,1.52E-08,6.639,1.623,0.117271296,0.842,-0.09,-1.124292516,-6.841939206,0.822102669
BATSE 0130 p15,L,L,I,1.87,0.29,0.001,0.052,1.878,0.145,4.92E-07,2.76E-08,4.481,0.543,0.271841607,0.097,-0.04,-0.838890578,-6.307681956,0.651374944
BATSE 0130 p16,L,L,I,2.04,0.29,0.033,0.086,1.186,0.101,3.36E-07,2.30E-08,5.344,0.808,0.309630167,0.717,0.13,-0.996939088,-6.473402291,0.727866449
BATSE 0130 p17,L,L,I,2.07,0.32,0.018,0.221,0.579,0.06,1.80E-07,1.65E-08,3.848,0.751,0.315970345,0.227,0,-1.220969081,-6.745935547,0.585235063
BATSE 0133 p01,L,L,C,9.78,0.71,0.05,0.606,0.316,0.071,3.95E-07,2.52E-08,5.966,0.844,0.990338855,0.944,0.84,-1.14887957,-6.403952992,0.775683249
BATSE 0133 p02,L,L,C,12.17,0.9,0.069,0.72,0.209,0.05,2.88E-07,1.96E-08,1.569,0.226,1.085290578,0.938,-0.66,-1.301929842,-6.540607512,0.195622944
BATSE 0133 p03,L,L,C,28.43,1.43,0.137,0.892,0.26,0.06,1.25E-06,4.83E-08,8.807,0.695,1.45377686,0.137,1.2,-1.221324247,-5.904133547,0.944827996
BATSE 0133 p04,L,L,C,50.97,2.12,0.036,0.928,0.339,0.076,2.02E-06,5.27E-08,2.706,0.161,1.707314634,0.938,2.58,-1.121250024,-5.695294102,0.432327792
BATSE 0148 p01,L,L,C,13.62,0.9,0.02,0.203,0.866,0.105,1.32E-06,4.10E-08,1.843,0.136,1.134177108,0.822,-0.33,-0.978757704,-5.881074247,0.265525335
BATSE 0148 p02,L,L,C,2.38,0.54,0.073,0.449,0.417,0.058,3.93E-07,2.62E-08,4.964,0.614,0.376576957,0.723,0.37,-1.238983727,-6.405165644,0.695831773
BATSE 0148 p03,L,L,C,6.86,0.61,0.013,0.263,0.709,0.089,4.94E-07,2.27E-08,0.805,0.111,0.836324116,0.541,0.07,-1.052475723,-6.306624849,-0.09420412
BATSE 0160 p01,L,L,I,1.68,0.28,0.004,0.201,0.733,0.079,1.55E-07,1.49E-08,3.875,0.867,0.225309282,0.175,0.001,-1.101668322,-6.809108283,0.588271707
BATSE 0171 p01,L,X,?,43.73,1.9,0.04,1.013,0.299,0.086,1.12E-06,3.81E-08,1.745,0.136,1.640779477,0.929,2.63,-1.065840059,-5.949233689,0.241795431
BATSE 0171 p02,L,X,?,3.14,0.28,0.1,0.43,0.41,0.115,7.81E-08,1.04E-08,2.346,0.676,0.496929648,1,0,-0.940592041,-7.107627093,0.370328008
BATSE 0179 p01,L,L,?,15.69,0.95,0.026,0.246,0.609,0.057,8.13E-07,3.07E-08,1.074,0.104,1.195622944,0.967,1.9,-1.242195942,-6.089909454,0.031004281
BATSE 0179 p02,L,L,?,0.86,0.18,0,0.037,3.963,0.227,5.71E-07,3.10E-08,10.028,1.347,-0.065501549,0.029,0.03,-0.644753039,-6.243668233,1.001214325
BATSE 0211 p01,L,X,C,23.14,1.23,0.03,0.675,0.347,0.092,1.09E-06,4.08E-08,4.223,0.341,1.364363355,0.91,0.94,-1.037968783,-5.964570262,0.625621081
BATSE 0214 p01,L,L,C,2.49,0.34,0.05,0.247,0.506,0.098,1.68E-07,1.48E-08,2.067,0.429,0.396199347,0.679,0.2,-1.007768261,-6.774690718,0.315340477
BATSE 0214 p02,L,L,C,3.7,0.42,0.05,0.466,0.253,0.054,1.23E-07,1.31E-08,2.6,0.608,0.568201724,0.368,0.43,-1.271584393,-6.909036923,0.414973348
BATSE 0214 p03,L,L,C,3.39,0.43,0.018,0.232,0.51,0.099,2.63E-07,1.94E-08,3.091,0.505,0.530199698,0.352,0.14,-1.00500462,-6.580539927,0.490099005
BATSE 0219 p01,L,L,I,2.57,0.36,0.008,0.225,0.926,0.058,2.91E-07,1.71E-08,0.66,0.122,0.409933123,0.361,0.372,-1.235475845,-6.53670439,-0.180456064
BATSE 0219 p02,L,L,I,5.18,0.57,0.014,0.052,2.488,0.104,2.62E-06,6.50E-08,5.496,0.293,0.71432976,0.413,0.74,-0.982027091,-5.582196277,0.740046724
BATSE 0219 p03,L,L,I,0.974,0.2,0.009,0.023,6.124,0.192,1.29E-06,4.69E-08,10.409,0.933,-0.011441043,0.254,0.08,-0.716220029,-5.890084137,1.017409009
BATSE 0219 p04,L,L,I,0.794,0.12,0.1,0.158,1.278,0.07,1.21E-07,1.43E-08,5.9,1.425,-0.100179498,0.828,0.07,-1.156190525,-6.917573699,0.770852012
BATSE 0219 p05,L,L,I,8.244,0.65,0.025,0.063,2.733,0.111,3.90E-06,8.10E-08,10.861,0.575,0.916137983,0.818,0.47,-0.956095771,-5.409381052,1.035869814
BATSE 0219 p06,L,L,I,4.096,0.39,0.011,0.012,8.667,0.25,5.25E-06,9.34E-08,7.645,0.312,0.612359948,0.978,0.39,-0.602475105,-5.279840697,0.88337749
BATSE 0219 p07,L,L,I,0.748,0.15,0.007,0.013,10.058,0.281,1.42E-06,4.97E-08,11.624,1.015,-0.126098402,0.583,0.03,-0.551740214,-5.847405922,1.065355601
BATSE 0219 p08,L,L,I,37.08,1.4,0.008,0.46,1.342,0.072,5.58E-06,9.23E-08,3.946,0.138,1.569139725,0.999,1.07,-1.143813725,-5.25305459,0.596157081
BATSE 0219 p09,L,L,I,4.705,0.47,0.1,0.079,1.665,0.082,1.33E-06,4.64E-08,6.353,0.495,0.672559628,0.999,0,-1.088836003,-5.877456476,0.802978855
BATSE 0219 p10,L,L,I,6.287,0.4,0.1,0.052,2.288,0.099,1.22E-06,4.23E-08,4.011,0.316,0.79844346,0.999,0.001,-1.004837892,-5.912928794,0.603252662
BATSE 0219 p11,L,L,I,0.843,0.17,0.004,0.019,6.579,0.203,1.06E-06,4.18E-08,7.872,0.729,-0.074172425,0.371,0.06,-0.693282994,-5.974284616,0.896085085
BATSE 0219 p12,L,L,I,2.93,0.31,0.031,0.078,1.304,0.071,4.65E-07,2.63E-08,3.59,0.439,0.46686762,0.992,-0.086,-1.151174788,-6.332360294,0.555094449
BATSE 0219 p13,L,L,I,2.59,0.35,0.03,0.113,1.084,0.064,4.72E-07,2.67E-08,4.236,0.529,0.413299764,0.767,0.038,-1.196980866,-6.325690111,0.626955951
BATSE 0219 p14,L,L,I,1.94,0.27,0.027,0.075,1.523,0.077,4.33E-07,2.54E-08,3.729,0.473,0.28780173,0.889,0.027,-1.111759565,-6.363712748,0.571592383
BATSE 0222 p01,L,L,C,5.47,0.53,0.014,0.073,1.643,0.12,1.21E-06,4.33E-08,4.698,0.366,0.737987326,0.854,0.006,-0.921419585,-5.916855857,0.671913012
BATSE 0222 p02,L,L,C,27,1.26,0.01,0.432,0.959,0.08,2.63E-06,6.24E-08,3.588,0.185,1.431363764,0.98,0.57,-1.094273937,-5.580209414,0.554852434
BATSE 0222 p03,L,L,C,1.02,0.27,0.068,0.195,0.851,0.074,1.66E-07,1.50E-08,1.523,0.282,0.008600172,0.826,-0.86,-1.130318912,-6.779368981,0.182699903
BATSE 0222 p04,L,L,C,2.72,0.37,0,0.039,2.892,0.189,1.19E-06,4.34E-08,5.033,0.396,0.434568904,0.028,0.08,-0.723362567,-5.924088239,0.70182693
BATSE 0226 p01,L,L,I,2.85,0.36,0.001,0.411,0.381,0.056,1.74E-07,1.71E-08,9.088,2.145,0.45484486,0.062,0.13,-1.253404974,-6.758951849,0.958468318
BATSE 0226 p02,L,L,I,9.98,0.52,0.045,0.407,0.49,0.068,2.78E-07,1.77E-08,3.015,0.654,0.999130541,0.403,-1.51,-1.168507366,-6.555642874,0.479287316
BATSE 0226 p03,L,L,I,65.12,0.66,0.003,0.238,0.497,0.069,7.81E-07,3.91E-08,19.452,2.539,1.813714392,0.124,0.01,-1.163075359,-6.107571453,1.288964261
BATSE 0226 p04,L,L,I,31.39,1.45,0.03,0.817,0.385,0.056,1.63E-06,5.22E-08,7.817,0.573,1.496791316,0.932,2.67,-1.250041192,-5.788879459,0.893040112
BATSE 0226 p05,L,L,I,19.77,1.22,0,0.34,0.762,0.097,2.32E-06,6.13E-08,6.79,0.41,1.296006669,0.068,0.68,-1.01131721,-5.63395079,0.831869774
BATSE 0226 p06,L,L,I,13.49,0.96,0.045,0.235,0.509,0.07,1.14E-06,4.41E-08,10.344,0.984,1.13001195,0.787,0.62,-1.155060791,-5.941573976,1.014688512
BATSE 0226 p07,L,L,I,9.7,0.96,0.058,0.39,0.28,0.044,6.97E-07,3.56E-08,13.106,1.647,0.986771734,0.905,0.86,-1.352893047,-6.156518057,1.117470164
